,District_Code,Sex,District,Neighborhood,Population,Neighborhood_Code,Academic_Qualification
87,3,Women,Sants-Montjuïc,Hostafrancs,1367,15,Primary education / certificate of schooling / EGB
88,3,Women,Sants-Montjuïc,la Bordeta,1888,16,Primary education / certificate of schooling / EGB
89,3,Women,Sants-Montjuïc,Sants - Badal,2458,17,Primary education / certificate of schooling / EGB
90,3,Women,Sants-Montjuïc,Sants,3376,18,Primary education / certificate of schooling / EGB
91,4,Women,Les Corts,les Corts,2526,19,Primary education / certificate of schooling / EGB
92,4,Women,Les Corts,la Maternitat i Sant Ramon,1604,20,Primary education / certificate of schooling / EGB
93,4,Women,Les Corts,Pedralbes,389,21,Primary education / certificate of schooling / EGB
94,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",181,22,Primary education / certificate of schooling / EGB
95,5,Women,Sarrià-Sant Gervasi,Sarrià,825,23,Primary education / certificate of schooling / EGB
96,5,Women,Sarrià-Sant Gervasi,les Tres Torres,391,24,Primary education / certificate of schooling / EGB
97,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,723,25,Primary education / certificate of schooling / EGB
98,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1358,26,Primary education / certificate of schooling / EGB
99,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,872,27,Primary education / certificate of schooling / EGB
100,6,Women,Gràcia,Vallcarca i els Penitents,845,28,Primary education / certificate of schooling / EGB
101,6,Women,Gràcia,el Coll,570,29,Primary education / certificate of schooling / EGB
102,6,Women,Gràcia,la Salut,740,30,Primary education / certificate of schooling / EGB
103,6,Women,Gràcia,la Vila de Gràcia,2818,31,Primary education / certificate of schooling / EGB
104,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,2049,32,Primary education / certificate of schooling / EGB
105,7,Women,Horta-Guinardó,el Baix Guinardó,1983,33,Primary education / certificate of schooling / EGB
106,7,Women,Horta-Guinardó,Can Baró,764,34,Primary education / certificate of schooling / EGB
