,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Five-Year_Age,Nationality
32,7,Women,Horta-Guinardó,el Baix Guinardó,33,377,0-4 years,Spain
33,7,Women,Horta-Guinardó,Can Baró,34,141,0-4 years,Spain
34,7,Women,Horta-Guinardó,el Guinardó,35,595,0-4 years,Spain
35,7,Women,Horta-Guinardó,la Font d'en Fargues,36,151,0-4 years,Spain
36,7,Women,Horta-Guinardó,el Carmel,37,466,0-4 years,Spain
37,7,Women,Horta-Guinardó,la Teixonera,38,159,0-4 years,Spain
38,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,120,0-4 years,Spain
39,7,Women,Horta-Guinardó,Montbau,40,72,0-4 years,Spain
40,7,Women,Horta-Guinardó,la Vall d'Hebron,41,103,0-4 years,Spain
41,7,Women,Horta-Guinardó,la Clota,42,21,0-4 years,Spain
42,7,Women,Horta-Guinardó,Horta,43,439,0-4 years,Spain
43,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,363,0-4 years,Spain
44,8,Women,Nou Barris,Porta,45,403,0-4 years,Spain
45,8,Women,Nou Barris,el Turó de la Peira,46,252,0-4 years,Spain
46,8,Women,Nou Barris,Can Peguera,47,31,0-4 years,Spain
47,8,Women,Nou Barris,la Guineueta,48,206,0-4 years,Spain
48,8,Women,Nou Barris,Canyelles,49,85,0-4 years,Spain
49,8,Women,Nou Barris,les Roquetes,50,306,0-4 years,Spain
50,8,Women,Nou Barris,Verdun,51,177,0-4 years,Spain
51,8,Women,Nou Barris,la Prosperitat,52,381,0-4 years,Spain
52,8,Women,Nou Barris,la Trinitat Nova,53,104,0-4 years,Spain
53,8,Women,Nou Barris,Torre Baró,54,49,0-4 years,Spain
54,8,Women,Nou Barris,Ciutat Meridiana,55,159,0-4 years,Spain
55,8,Women,Nou Barris,Vallbona,56,29,0-4 years,Spain
56,9,Women,Sant Andreu,la Trinitat Vella,57,139,0-4 years,Spain
57,9,Women,Sant Andreu,Baró de Viver,58,56,0-4 years,Spain
58,9,Women,Sant Andreu,el Bon Pastor,59,220,0-4 years,Spain
59,9,Women,Sant Andreu,Sant Andreu,60,1007,0-4 years,Spain
60,9,Women,Sant Andreu,la Sagrera,61,418,0-4 years,Spain
61,9,Women,Sant Andreu,el Congrés i els Indians,62,219,0-4 years,Spain
62,9,Women,Sant Andreu,Navas,63,323,0-4 years,Spain
63,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,541,0-4 years,Spain
64,10,Women,Sant Martí,el Clot,65,356,0-4 years,Spain
65,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,290,0-4 years,Spain
66,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,128,0-4 years,Spain
67,10,Women,Sant Martí,el Poblenou,68,559,0-4 years,Spain
68,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,275,0-4 years,Spain
