,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Nationality
2731,4,Women,Les Corts,Pedralbes,21,1,Cuba
2732,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,2,Cuba
2733,5,Women,Sarrià-Sant Gervasi,Sarrià,23,5,Cuba
2734,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,4,Cuba
2735,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,10,Cuba
2736,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,23,Cuba
2737,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,20,Cuba
2738,6,Women,Gràcia,la Vila de Gràcia,31,30,Cuba
2739,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,18,Cuba
2740,7,Women,Horta-Guinardó,el Baix Guinardó,33,27,Cuba
2741,7,Women,Horta-Guinardó,Can Baró,34,7,Cuba
2742,7,Women,Horta-Guinardó,el Guinardó,35,24,Cuba
2743,7,Women,Horta-Guinardó,la Font d'en Fargues,36,9,Cuba
2744,7,Women,Horta-Guinardó,el Carmel,37,16,Cuba
2745,7,Women,Horta-Guinardó,la Teixonera,38,14,Cuba
2746,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,3,Cuba
2747,7,Women,Horta-Guinardó,Montbau,40,7,Cuba
2748,7,Women,Horta-Guinardó,la Vall d'Hebron,41,0,Cuba
2749,7,Women,Horta-Guinardó,la Clota,42,0,Cuba
2750,7,Women,Horta-Guinardó,Horta,43,27,Cuba
2751,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,30,Cuba
2752,8,Women,Nou Barris,Porta,45,33,Cuba
2753,8,Women,Nou Barris,el Turó de la Peira,46,11,Cuba
2754,8,Women,Nou Barris,Can Peguera,47,2,Cuba
2755,8,Women,Nou Barris,la Guineueta,48,11,Cuba
2756,8,Women,Nou Barris,Canyelles,49,2,Cuba
2757,8,Women,Nou Barris,les Roquetes,50,11,Cuba
2758,8,Women,Nou Barris,Verdun,51,13,Cuba
2759,8,Women,Nou Barris,la Prosperitat,52,20,Cuba
2760,8,Women,Nou Barris,la Trinitat Nova,53,7,Cuba
2761,8,Women,Nou Barris,Torre Baró,54,1,Cuba
2762,8,Women,Nou Barris,Ciutat Meridiana,55,7,Cuba
2763,8,Women,Nou Barris,Vallbona,56,3,Cuba
2764,9,Women,Sant Andreu,la Trinitat Vella,57,4,Cuba
2765,9,Women,Sant Andreu,Baró de Viver,58,1,Cuba
2766,9,Women,Sant Andreu,el Bon Pastor,59,10,Cuba
2767,9,Women,Sant Andreu,Sant Andreu,60,50,Cuba
2768,9,Women,Sant Andreu,la Sagrera,61,14,Cuba
2769,9,Women,Sant Andreu,el Congrés i els Indians,62,21,Cuba
2770,9,Women,Sant Andreu,Navas,63,18,Cuba
2771,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,39,Cuba
2772,10,Women,Sant Martí,el Clot,65,14,Cuba
2773,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,10,Cuba
2774,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,3,Cuba
2775,10,Women,Sant Martí,el Poblenou,68,19,Cuba
2776,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,7,Cuba
2777,10,Women,Sant Martí,el Besòs i el Maresme,70,18,Cuba
2778,10,Women,Sant Martí,Provençals del Poblenou,71,18,Cuba
2779,10,Women,Sant Martí,Sant Martí de Provençals,72,19,Cuba
2780,10,Women,Sant Martí,la Verneda i la Pau,73,14,Cuba
2781,1,Women,Ciutat Vella,el Raval,1,31,El Salvador
2782,1,Women,Ciutat Vella,el Barri Gòtic,2,27,El Salvador
2783,1,Women,Ciutat Vella,la Barceloneta,3,19,El Salvador
2784,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,10,El Salvador
2785,2,Women,Eixample,el Fort Pienc,5,23,El Salvador
2786,2,Women,Eixample,la Sagrada Família,6,23,El Salvador
2787,2,Women,Eixample,la Dreta de l'Eixample,7,19,El Salvador
2788,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,28,El Salvador
2789,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,36,El Salvador
2790,2,Women,Eixample,Sant Antoni,10,21,El Salvador
2791,3,Women,Sants-Montjuïc,el Poble Sec,11,34,El Salvador
2792,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,0,El Salvador
2793,3,Women,Sants-Montjuïc,la Marina de Port,13,15,El Salvador
2794,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,10,El Salvador
2795,3,Women,Sants-Montjuïc,Hostafrancs,15,7,El Salvador
2796,3,Women,Sants-Montjuïc,la Bordeta,16,9,El Salvador
2797,3,Women,Sants-Montjuïc,Sants - Badal,17,27,El Salvador
2798,3,Women,Sants-Montjuïc,Sants,18,52,El Salvador
2799,4,Women,Les Corts,les Corts,19,20,El Salvador
2800,4,Women,Les Corts,la Maternitat i Sant Ramon,20,23,El Salvador
2801,4,Women,Les Corts,Pedralbes,21,10,El Salvador
2802,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,0,El Salvador
2803,5,Women,Sarrià-Sant Gervasi,Sarrià,23,12,El Salvador
2804,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,7,El Salvador
2805,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,11,El Salvador
2806,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,35,El Salvador
2807,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,12,El Salvador
2808,6,Women,Gràcia,Vallcarca i els Penitents,28,8,El Salvador
2809,6,Women,Gràcia,el Coll,29,12,El Salvador
2810,6,Women,Gràcia,la Salut,30,5,El Salvador
2811,6,Women,Gràcia,la Vila de Gràcia,31,27,El Salvador
2812,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,21,El Salvador
2813,7,Women,Horta-Guinardó,el Baix Guinardó,33,18,El Salvador
2814,7,Women,Horta-Guinardó,Can Baró,34,8,El Salvador
2815,7,Women,Horta-Guinardó,el Guinardó,35,38,El Salvador
2816,7,Women,Horta-Guinardó,la Font d'en Fargues,36,2,El Salvador
2817,7,Women,Horta-Guinardó,el Carmel,37,79,El Salvador
2818,7,Women,Horta-Guinardó,la Teixonera,38,20,El Salvador
2819,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,8,El Salvador
2820,7,Women,Horta-Guinardó,Montbau,40,1,El Salvador
2821,7,Women,Horta-Guinardó,la Vall d'Hebron,41,0,El Salvador
2822,7,Women,Horta-Guinardó,la Clota,42,0,El Salvador
2823,7,Women,Horta-Guinardó,Horta,43,57,El Salvador
2824,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,40,El Salvador
2825,8,Women,Nou Barris,Porta,45,47,El Salvador
2826,8,Women,Nou Barris,el Turó de la Peira,46,17,El Salvador
2827,8,Women,Nou Barris,Can Peguera,47,0,El Salvador
2828,8,Women,Nou Barris,la Guineueta,48,7,El Salvador
2829,8,Women,Nou Barris,Canyelles,49,8,El Salvador
2830,8,Women,Nou Barris,les Roquetes,50,21,El Salvador
2831,8,Women,Nou Barris,Verdun,51,19,El Salvador
2832,8,Women,Nou Barris,la Prosperitat,52,43,El Salvador
2833,8,Women,Nou Barris,la Trinitat Nova,53,9,El Salvador
2834,8,Women,Nou Barris,Torre Baró,54,3,El Salvador
2835,3,Women,Sants-Montjuïc,Sants,18,110,India
2836,8,Women,Nou Barris,Ciutat Meridiana,55,11,El Salvador
2837,8,Women,Nou Barris,Vallbona,56,2,El Salvador
2838,9,Women,Sant Andreu,la Trinitat Vella,57,22,El Salvador
2839,9,Women,Sant Andreu,Baró de Viver,58,0,El Salvador
2840,9,Women,Sant Andreu,el Bon Pastor,59,23,El Salvador
2841,9,Women,Sant Andreu,Sant Andreu,60,35,El Salvador
2842,9,Women,Sant Andreu,la Sagrera,61,28,El Salvador
2843,9,Women,Sant Andreu,el Congrés i els Indians,62,12,El Salvador
2844,9,Women,Sant Andreu,Navas,63,19,El Salvador
2845,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,26,El Salvador
2846,10,Women,Sant Martí,el Clot,65,8,El Salvador
2847,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,12,El Salvador
2848,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,5,El Salvador
2849,10,Women,Sant Martí,el Poblenou,68,6,El Salvador
2850,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,1,El Salvador
2851,10,Women,Sant Martí,el Besòs i el Maresme,70,32,El Salvador
2852,10,Women,Sant Martí,Provençals del Poblenou,71,5,El Salvador
2853,10,Women,Sant Martí,Sant Martí de Provençals,72,5,El Salvador
2854,10,Women,Sant Martí,la Verneda i la Pau,73,17,El Salvador
2855,1,Women,Ciutat Vella,el Raval,1,20,Uruguay
2856,1,Women,Ciutat Vella,el Barri Gòtic,2,24,Uruguay
2857,1,Women,Ciutat Vella,la Barceloneta,3,22,Uruguay
2858,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,25,Uruguay
2859,2,Women,Eixample,el Fort Pienc,5,26,Uruguay
2860,2,Women,Eixample,la Sagrada Família,6,38,Uruguay
2861,2,Women,Eixample,la Dreta de l'Eixample,7,28,Uruguay
2862,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,26,Uruguay
2863,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,28,Uruguay
2864,2,Women,Eixample,Sant Antoni,10,24,Uruguay
2865,3,Women,Sants-Montjuïc,el Poble Sec,11,21,Uruguay
2866,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,1,Uruguay
2867,3,Women,Sants-Montjuïc,la Marina de Port,13,10,Uruguay
2868,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,5,Uruguay
2869,3,Women,Sants-Montjuïc,Hostafrancs,15,11,Uruguay
2870,3,Women,Sants-Montjuïc,la Bordeta,16,7,Uruguay
2871,3,Women,Sants-Montjuïc,Sants - Badal,17,12,Uruguay
2872,3,Women,Sants-Montjuïc,Sants,18,19,Uruguay
2873,4,Women,Les Corts,les Corts,19,11,Uruguay
2874,4,Women,Les Corts,la Maternitat i Sant Ramon,20,5,Uruguay
2875,4,Women,Les Corts,Pedralbes,21,4,Uruguay
2876,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,1,Uruguay
2877,5,Women,Sarrià-Sant Gervasi,Sarrià,23,2,Uruguay
2878,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,4,Uruguay
2879,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,6,Uruguay
2880,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,9,Uruguay
2881,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,15,Uruguay
2882,6,Women,Gràcia,Vallcarca i els Penitents,28,7,Uruguay
2883,6,Women,Gràcia,el Coll,29,4,Uruguay
2884,6,Women,Gràcia,la Salut,30,9,Uruguay
2885,6,Women,Gràcia,la Vila de Gràcia,31,32,Uruguay
2886,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,22,Uruguay
2887,7,Women,Horta-Guinardó,el Baix Guinardó,33,14,Uruguay
2888,7,Women,Horta-Guinardó,Can Baró,34,4,Uruguay
2889,7,Women,Horta-Guinardó,el Guinardó,35,20,Uruguay
2890,7,Women,Horta-Guinardó,la Font d'en Fargues,36,5,Uruguay
2891,7,Women,Horta-Guinardó,el Carmel,37,22,Uruguay
2892,7,Women,Horta-Guinardó,la Teixonera,38,8,Uruguay
2893,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,7,Uruguay
2894,7,Women,Horta-Guinardó,Montbau,40,1,Uruguay
2895,7,Women,Horta-Guinardó,la Vall d'Hebron,41,0,Uruguay
2896,7,Women,Horta-Guinardó,la Clota,42,0,Uruguay
2897,7,Women,Horta-Guinardó,Horta,43,16,Uruguay
2898,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,9,Uruguay
2899,8,Women,Nou Barris,Porta,45,15,Uruguay
2900,8,Women,Nou Barris,el Turó de la Peira,46,6,Uruguay
2901,8,Women,Nou Barris,Can Peguera,47,1,Uruguay
2902,8,Women,Nou Barris,la Guineueta,48,6,Uruguay
2903,8,Women,Nou Barris,Canyelles,49,0,Uruguay
2904,8,Women,Nou Barris,les Roquetes,50,13,Uruguay
2905,8,Women,Nou Barris,Verdun,51,3,Uruguay
2906,8,Women,Nou Barris,la Prosperitat,52,12,Uruguay
2907,8,Women,Nou Barris,la Trinitat Nova,53,4,Uruguay
2908,8,Women,Nou Barris,Torre Baró,54,3,Uruguay
2909,8,Women,Nou Barris,Ciutat Meridiana,55,4,Uruguay
2910,8,Women,Nou Barris,Vallbona,56,0,Uruguay
2911,9,Women,Sant Andreu,la Trinitat Vella,57,7,Uruguay
2912,9,Women,Sant Andreu,Baró de Viver,58,1,Uruguay
2913,9,Women,Sant Andreu,el Bon Pastor,59,1,Uruguay
2914,9,Women,Sant Andreu,Sant Andreu,60,23,Uruguay
2915,9,Women,Sant Andreu,la Sagrera,61,10,Uruguay
2916,9,Women,Sant Andreu,el Congrés i els Indians,62,3,Uruguay
2917,9,Women,Sant Andreu,Navas,63,16,Uruguay
2918,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,31,Uruguay
2919,10,Women,Sant Martí,el Clot,65,17,Uruguay
2920,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,9,Uruguay
2921,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,4,Uruguay
2922,10,Women,Sant Martí,el Poblenou,68,11,Uruguay
2923,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,9,Uruguay
2924,10,Women,Sant Martí,el Besòs i el Maresme,70,7,Uruguay
2925,10,Women,Sant Martí,Provençals del Poblenou,71,8,Uruguay
2926,10,Women,Sant Martí,Sant Martí de Provençals,72,13,Uruguay
2927,10,Women,Sant Martí,la Verneda i la Pau,73,19,Uruguay
2928,1,Women,Ciutat Vella,el Raval,1,15,Nicaragua
2929,1,Women,Ciutat Vella,el Barri Gòtic,2,8,Nicaragua
2930,1,Women,Ciutat Vella,la Barceloneta,3,7,Nicaragua
2931,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,4,Nicaragua
2932,2,Women,Eixample,el Fort Pienc,5,22,Nicaragua
2933,2,Women,Eixample,la Sagrada Família,6,36,Nicaragua
2934,2,Women,Eixample,la Dreta de l'Eixample,7,18,Nicaragua
2935,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,25,Nicaragua
2936,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,28,Nicaragua
2937,2,Women,Eixample,Sant Antoni,10,18,Nicaragua
2938,3,Women,Sants-Montjuïc,el Poble Sec,11,11,Nicaragua
2939,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,0,Nicaragua
2940,3,Women,Sants-Montjuïc,la Marina de Port,13,13,Nicaragua
2941,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,5,Nicaragua
2942,3,Women,Sants-Montjuïc,Hostafrancs,15,3,Nicaragua
2943,3,Women,Sants-Montjuïc,la Bordeta,16,8,Nicaragua
2944,3,Women,Sants-Montjuïc,Sants - Badal,17,16,Nicaragua
2945,3,Women,Sants-Montjuïc,Sants,18,29,Nicaragua
2946,4,Women,Les Corts,les Corts,19,8,Nicaragua
2947,4,Women,Les Corts,la Maternitat i Sant Ramon,20,6,Nicaragua
2948,4,Women,Les Corts,Pedralbes,21,1,Nicaragua
2949,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,0,Nicaragua
2950,5,Women,Sarrià-Sant Gervasi,Sarrià,23,7,Nicaragua
2951,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,2,Nicaragua
2952,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,15,Nicaragua
2953,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,20,Nicaragua
2954,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,12,Nicaragua
2955,6,Women,Gràcia,Vallcarca i els Penitents,28,4,Nicaragua
2956,6,Women,Gràcia,el Coll,29,10,Nicaragua
2957,6,Women,Gràcia,la Salut,30,3,Nicaragua
2958,6,Women,Gràcia,la Vila de Gràcia,31,11,Nicaragua
2959,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,12,Nicaragua
2960,7,Women,Horta-Guinardó,el Baix Guinardó,33,5,Nicaragua
2961,7,Women,Horta-Guinardó,Can Baró,34,11,Nicaragua
2962,7,Women,Horta-Guinardó,el Guinardó,35,19,Nicaragua
2963,7,Women,Horta-Guinardó,la Font d'en Fargues,36,2,Nicaragua
2964,7,Women,Horta-Guinardó,el Carmel,37,39,Nicaragua
2965,4,Women,Les Corts,les Corts,19,57,India
2966,7,Women,Horta-Guinardó,la Teixonera,38,5,Nicaragua
2967,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,20,Nicaragua
2968,7,Women,Horta-Guinardó,Montbau,40,3,Nicaragua
2969,7,Women,Horta-Guinardó,la Vall d'Hebron,41,1,Nicaragua
2970,7,Women,Horta-Guinardó,la Clota,42,0,Nicaragua
2971,7,Women,Horta-Guinardó,Horta,43,33,Nicaragua
2972,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,13,Nicaragua
2973,8,Women,Nou Barris,Porta,45,33,Nicaragua
2974,8,Women,Nou Barris,el Turó de la Peira,46,21,Nicaragua
2975,8,Women,Nou Barris,Can Peguera,47,0,Nicaragua
2976,8,Women,Nou Barris,la Guineueta,48,10,Nicaragua
2977,8,Women,Nou Barris,Canyelles,49,2,Nicaragua
2978,8,Women,Nou Barris,les Roquetes,50,19,Nicaragua
2979,8,Women,Nou Barris,Verdun,51,10,Nicaragua
2980,8,Women,Nou Barris,la Prosperitat,52,19,Nicaragua
2981,8,Women,Nou Barris,la Trinitat Nova,53,11,Nicaragua
2982,8,Women,Nou Barris,Torre Baró,54,0,Nicaragua
2983,8,Women,Nou Barris,Ciutat Meridiana,55,9,Nicaragua
2984,8,Women,Nou Barris,Vallbona,56,0,Nicaragua
2985,9,Women,Sant Andreu,la Trinitat Vella,57,13,Nicaragua
2986,9,Women,Sant Andreu,Baró de Viver,58,1,Nicaragua
2987,9,Women,Sant Andreu,el Bon Pastor,59,16,Nicaragua
2988,9,Women,Sant Andreu,Sant Andreu,60,26,Nicaragua
2989,9,Women,Sant Andreu,la Sagrera,61,19,Nicaragua
2990,9,Women,Sant Andreu,el Congrés i els Indians,62,8,Nicaragua
2991,9,Women,Sant Andreu,Navas,63,15,Nicaragua
2992,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,24,Nicaragua
2993,10,Women,Sant Martí,el Clot,65,7,Nicaragua
2994,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,1,Nicaragua
2995,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,0,Nicaragua
2996,10,Women,Sant Martí,el Poblenou,68,4,Nicaragua
2997,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,1,Nicaragua
2998,10,Women,Sant Martí,el Besòs i el Maresme,70,18,Nicaragua
2999,10,Women,Sant Martí,Provençals del Poblenou,71,6,Nicaragua
3000,10,Women,Sant Martí,Sant Martí de Provençals,72,9,Nicaragua
3001,10,Women,Sant Martí,la Verneda i la Pau,73,28,Nicaragua
3002,1,Women,Ciutat Vella,el Raval,1,58,Other countries in America
3003,1,Women,Ciutat Vella,el Barri Gòtic,2,39,Other countries in America
3004,1,Women,Ciutat Vella,la Barceloneta,3,24,Other countries in America
3005,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,59,Other countries in America
3006,2,Women,Eixample,el Fort Pienc,5,38,Other countries in America
3007,2,Women,Eixample,la Sagrada Família,6,74,Other countries in America
3008,2,Women,Eixample,la Dreta de l'Eixample,7,56,Other countries in America
3009,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,71,Other countries in America
3010,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,67,Other countries in America
3011,2,Women,Eixample,Sant Antoni,10,53,Other countries in America
3012,3,Women,Sants-Montjuïc,el Poble Sec,11,46,Other countries in America
3013,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,0,Other countries in America
3014,3,Women,Sants-Montjuïc,la Marina de Port,13,7,Other countries in America
3015,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,12,Other countries in America
3016,3,Women,Sants-Montjuïc,Hostafrancs,15,31,Other countries in America
3017,3,Women,Sants-Montjuïc,la Bordeta,16,11,Other countries in America
3018,3,Women,Sants-Montjuïc,Sants - Badal,17,20,Other countries in America
3019,3,Women,Sants-Montjuïc,Sants,18,33,Other countries in America
3020,4,Women,Les Corts,les Corts,19,34,Other countries in America
3021,4,Women,Les Corts,la Maternitat i Sant Ramon,20,17,Other countries in America
3022,4,Women,Les Corts,Pedralbes,21,15,Other countries in America
3023,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,5,Other countries in America
3024,5,Women,Sarrià-Sant Gervasi,Sarrià,23,10,Other countries in America
3025,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,9,Other countries in America
3026,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,23,Other countries in America
3027,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,49,Other countries in America
3028,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,23,Other countries in America
3029,6,Women,Gràcia,Vallcarca i els Penitents,28,17,Other countries in America
3030,6,Women,Gràcia,el Coll,29,3,Other countries in America
3031,6,Women,Gràcia,la Salut,30,5,Other countries in America
3032,6,Women,Gràcia,la Vila de Gràcia,31,87,Other countries in America
3033,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,33,Other countries in America
3034,7,Women,Horta-Guinardó,el Baix Guinardó,33,17,Other countries in America
3035,7,Women,Horta-Guinardó,Can Baró,34,3,Other countries in America
3036,7,Women,Horta-Guinardó,el Guinardó,35,14,Other countries in America
3037,7,Women,Horta-Guinardó,la Font d'en Fargues,36,2,Other countries in America
3038,7,Women,Horta-Guinardó,el Carmel,37,18,Other countries in America
3039,7,Women,Horta-Guinardó,la Teixonera,38,7,Other countries in America
3040,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,3,Other countries in America
3041,7,Women,Horta-Guinardó,Montbau,40,5,Other countries in America
3042,7,Women,Horta-Guinardó,la Vall d'Hebron,41,1,Other countries in America
3043,7,Women,Horta-Guinardó,la Clota,42,0,Other countries in America
3044,7,Women,Horta-Guinardó,Horta,43,14,Other countries in America
3045,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,11,Other countries in America
3046,8,Women,Nou Barris,Porta,45,8,Other countries in America
3047,8,Women,Nou Barris,el Turó de la Peira,46,10,Other countries in America
3048,8,Women,Nou Barris,Can Peguera,47,2,Other countries in America
3049,8,Women,Nou Barris,la Guineueta,48,0,Other countries in America
3050,8,Women,Nou Barris,Canyelles,49,1,Other countries in America
3051,8,Women,Nou Barris,les Roquetes,50,3,Other countries in America
3052,8,Women,Nou Barris,Verdun,51,4,Other countries in America
3053,8,Women,Nou Barris,la Prosperitat,52,2,Other countries in America
3054,8,Women,Nou Barris,la Trinitat Nova,53,1,Other countries in America
3055,8,Women,Nou Barris,Torre Baró,54,1,Other countries in America
3056,8,Women,Nou Barris,Ciutat Meridiana,55,6,Other countries in America
3057,8,Women,Nou Barris,Vallbona,56,2,Other countries in America
3058,9,Women,Sant Andreu,la Trinitat Vella,57,0,Other countries in America
3059,9,Women,Sant Andreu,Baró de Viver,58,1,Other countries in America
3060,9,Women,Sant Andreu,el Bon Pastor,59,7,Other countries in America
3061,9,Women,Sant Andreu,Sant Andreu,60,12,Other countries in America
3062,9,Women,Sant Andreu,la Sagrera,61,13,Other countries in America
3063,9,Women,Sant Andreu,el Congrés i els Indians,62,4,Other countries in America
3064,9,Women,Sant Andreu,Navas,63,10,Other countries in America
3065,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,32,Other countries in America
3066,10,Women,Sant Martí,el Clot,65,13,Other countries in America
3067,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,14,Other countries in America
3068,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,9,Other countries in America
3069,10,Women,Sant Martí,el Poblenou,68,25,Other countries in America
3070,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,14,Other countries in America
3071,10,Women,Sant Martí,el Besòs i el Maresme,70,14,Other countries in America
3072,10,Women,Sant Martí,Provençals del Poblenou,71,13,Other countries in America
3073,10,Women,Sant Martí,Sant Martí de Provençals,72,10,Other countries in America
3074,10,Women,Sant Martí,la Verneda i la Pau,73,7,Other countries in America
3075,1,Women,Ciutat Vella,el Raval,1,1167,Pakistan
3076,1,Women,Ciutat Vella,el Barri Gòtic,2,203,Pakistan
3077,1,Women,Ciutat Vella,la Barceloneta,3,71,Pakistan
3078,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,108,Pakistan
3079,2,Women,Eixample,el Fort Pienc,5,40,Pakistan
3080,2,Women,Eixample,la Sagrada Família,6,57,Pakistan
3081,4,Women,Les Corts,Pedralbes,21,8,Iran
3082,2,Women,Eixample,la Dreta de l'Eixample,7,14,Pakistan
3083,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,23,Pakistan
3084,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,36,Pakistan
3085,2,Women,Eixample,Sant Antoni,10,142,Pakistan
3086,3,Women,Sants-Montjuïc,el Poble Sec,11,485,Pakistan
3087,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,1,Pakistan
3088,3,Women,Sants-Montjuïc,la Marina de Port,13,99,Pakistan
3089,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,22,Pakistan
3090,3,Women,Sants-Montjuïc,Hostafrancs,15,92,Pakistan
3091,3,Women,Sants-Montjuïc,la Bordeta,16,46,Pakistan
3092,3,Women,Sants-Montjuïc,Sants - Badal,17,54,Pakistan
3093,3,Women,Sants-Montjuïc,Sants,18,156,Pakistan
3094,4,Women,Les Corts,les Corts,19,42,Pakistan
3095,4,Women,Les Corts,la Maternitat i Sant Ramon,20,16,Pakistan
3096,4,Women,Les Corts,Pedralbes,21,5,Pakistan
3097,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,0,Pakistan
3098,5,Women,Sarrià-Sant Gervasi,Sarrià,23,8,Pakistan
3099,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,1,Pakistan
3100,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,10,Pakistan
3101,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,18,Pakistan
3102,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,16,Pakistan
3103,6,Women,Gràcia,Vallcarca i els Penitents,28,21,Pakistan
3104,6,Women,Gràcia,el Coll,29,19,Pakistan
3105,6,Women,Gràcia,la Salut,30,11,Pakistan
3106,6,Women,Gràcia,la Vila de Gràcia,31,51,Pakistan
3107,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,34,Pakistan
3108,7,Women,Horta-Guinardó,el Baix Guinardó,33,41,Pakistan
3109,7,Women,Horta-Guinardó,Can Baró,34,13,Pakistan
3110,7,Women,Horta-Guinardó,el Guinardó,35,52,Pakistan
